Centroid LON,Centroid LAT,Shelf,Sector,Fig2A,Fig2B,Fig2C,Fig3A,Fig3B,Fig3C,Fig4A,Fig4B,Fig4C,Fig5A
143.9618,-10.6877,3,1,0.016232352,2.645578247,0.442921138,6.571428571,1.879942551,0.504201681,3,5,2,0
143.7874,-10.7032,2,1,0.001153162,1.852994411,0.317505769,9,1.737980475,0.401515152,2,3,1,1
143.9634,-10.7094,3,1,0.004751184,2.645179153,0.309359067,5,1.562049935,0.360544218,4,5,1,0
143.9585,-10.7249,3,1,0.000723049,2.645751311,0.057142857,0.428571429,2.645751311,0.142857143,6,6,0,0
143.9797,-10.723,3,1,0.001426517,2.645751311,0.057142857,0.142857143,2.645751311,0.142857143,6,6,0,0
143.521,-10.6932,2,1,0.048146586,1.636432612,0.620947592,23.71428571,1.214798034,0.627392449,0,0,0,0
143.9649,-10.7341,3,1,9.47E-07,2.645751311,0.057142857,0.142857143,2.645751311,0.142857143,6,6,0,0
143.9737,-10.7401,3,1,7.30E-08,2.645751311,0.134831373,1.428571429,2.645751311,0.1,6,6,0,0
143.9801,-10.7545,3,1,0.002458508,2.644866289,0.765087802,6.428571429,1.422453685,0.80952381,1,5,4,2
143.6094,-10.7448,2,1,0.122747379,0.393952667,0.424597817,50.85714286,0.670889787,0.699305556,0,0,0,0
143.7427,-10.7375,2,1,0.047665688,0.717248146,0.490835224,21,1.327367606,0.708247184,0,1,1,1
143.5057,-10.7697,2,1,0.009089962,2.069112649,0.494101256,17.57142857,1.348294997,0.539338032,0,0,0,0
143.6907,-10.7894,2,1,0.010409595,1.046615801,0.55256107,20.28571429,0.951937993,0.666056423,1,1,0,0
143.7162,-10.7704,2,1,0.014615253,0.679444754,0.377375848,19.14285714,1.215578259,0.592918986,1,1,0,0
143.8438,-10.7667,2,1,0.000935009,1.742828882,0.471444305,4.142857143,1.403523114,0.505494505,3,5,2,2
143.9756,-10.7782,3,1,0.007190738,2.645640938,0.341472805,4.285714286,1.436559676,0.37755102,4,5,1,0
143.9838,-10.7862,3,1,0.000831803,2.645092796,0.319442045,3,1.374368542,0.357142857,4,5,1,0
143.9887,-10.7943,3,1,0.005432068,2.645586215,0.605676713,5,1.657307053,0.642857143,2,5,3,2
144.0154,-10.9506,3,1,0.00706407,2.645748126,0.342857143,1.428571429,1.391641716,0.428571429,4,6,2,2
143.5107,-10.9449,2,1,0.025831331,0.56422508,0.337449793,23.71428571,1.17964667,0.691906695,0,0,0,0
143.9984,-10.8359,3,1,0.005275901,2.645751311,0.057142857,1.428571429,2.645751311,0.142857143,6,6,0,0
144.0089,-10.8301,3,1,1.05E-05,2.645576219,0.2,0.428571429,1.247219129,0.285714286,4,5,1,0
142.5773,-10.7299,1,1,0.042947791,0.682978756,0.371402538,38.14285714,0.558705598,0.675782953,0,0,0,0
142.5796,-10.7986,1,1,0.047321997,0.669351395,0.422223868,21.28571429,0.570706623,0.602223318,0,0,0,0
142.553,-10.8319,1,1,0.240864954,0.887755199,0.390371623,28.85714286,0.507500196,0.549225707,0,0,0,0
142.6044,-10.7574,1,1,0.051031659,0.554179582,0.428364077,31.42857143,0.666375625,0.637225248,0,0,0,0
143.3795,-10.8402,2,1,0.002963212,1.255663826,0.548338883,11.71428571,1.467626054,0.5623706,1,1,0,0
143.4462,-10.8976,2,1,0.013592075,0.760225576,0.3041593,15.28571429,0.82812739,0.633023209,0,0,0,0
143.5538,-10.9306,2,1,0.003297181,1.634588895,0.623858233,6.285714286,1.881748645,0.693722944,0,3,3,1
143.6272,-10.9758,2,1,0.049270672,0.63374378,0.457010803,28.85714286,1.200169225,0.687322486,0,0,0,0
143.7135,-10.9418,2,1,0.019612216,0.455839018,0.439621381,18.57142857,0.813568369,0.611394558,0,0,0,0
143.768,-11.0143,2,1,0.033595256,0.630461008,0.523750822,15.85714286,0.621556336,0.704341991,0,1,1,1
143.7782,-10.9839,2,1,0.005203066,1.005485513,0.326883951,2.571428571,0.587944736,0.476190476,1,2,1,1
143.956,-10.7417,3,1,0.000233037,2.643693639,0.196250354,1.571428571,2.377001839,0.271428571,5,5,0,0
144.0023,-10.9352,3,1,0,NaN,0,0,NaN,0,7,7,0,0
144.0341,-10.9125,3,1,0,NaN,0,0,NaN,0,7,7,0,0
142.7391,-10.8108,1,1,0.020889297,0.855365191,0.46679306,33.85714286,0.59694328,0.722330685,0,0,0,0
142.7458,-10.9941,1,1,0.104839987,0.769032118,0.371240237,24.28571429,0.560924842,0.569008452,0,0,0,0
143.9531,-10.6851,3,1,0,NaN,0,0,NaN,0,7,7,0,0
143.9919,-10.8598,3,1,0.028756607,2.642668568,0.300365391,8,1.346291202,0.258241758,4,4,0,0
143.6589,-10.8564,2,1,0.016303972,0.852054439,0.425577329,12.14285714,1.00122186,0.684843503,0,2,2,2
143.7112,-10.8594,2,1,0.009971944,1.302616539,0.342560395,13.71428571,1.946895157,0.56135319,1,2,1,1
143.7934,-10.8695,2,1,0.003621618,1.386995954,0.350006936,8.285714286,1.91805986,0.506060606,2,3,1,0
143.4686,-10.8054,2,1,0.055198825,1.238847943,0.459612032,32.71428571,0.775663537,0.67342096,0,0,0,0
143.5855,-10.8526,2,1,0.069445501,0.469873628,0.472819865,45.57142857,0.875716051,0.62427885,0,0,0,0
144.011,-10.8878,3,1,0.033843612,2.641603856,0.880023449,14.85714286,1.009187944,0.845598846,0,4,4,2
143.5528,-10.8967,2,1,0.005171348,1.379235682,0.673789402,16.57142857,1.170055522,0.741995074,0,2,2,2
